postcode,year,age,number_citizens,health_expenditure_under_deductible,costs_per_head,log_costs_per_head,wa_statusscore,wa_SHI,status,i rank,pc3
103.0,2012,44.5,260.21666666666664,583383.5473333334,2728.409676736357,7.674477807777634,-1.4605784028498758,20.13256880733937,1.0,1.0,103
103.0,2013,44.5,261.82777777777784,600695.9104444443,2844.950090730479,7.707064167530387,-1.5435746526009344,20.35181818181812,1.0,1.0,103
103.0,2014,44.5,264.47777777777776,599805.5833333333,2811.895337691398,7.687607683519139,-1.6488785136929718,21.16860986547089,1.0,1.0,103
103.0,2015,44.5,268.76666666666665,577707.5631666669,2672.983106042041,7.6166228258964015,-1.514567320159674,21.978761061946894,1.0,2.0,103
103.0,2016,44.5,277.3666666666667,620974.0061111114,2796.5055651305793,7.6745182679000035,-1.4033838547651598,22.782532751091733,1.0,2.0,103
104.0,2012,44.0,10.333333333333334,13414.683333333334,1282.997424242424,7.105886644173107,,0.0,,1.0,104
104.0,2013,50.0,10.5,10237.59,976.0741363636363,6.884300213273008,,0.0,,1.0,104
104.0,2014,22.0,10.0,60544.56,6054.456,8.708714962813,,0.0,,1.0,104
104.0,2015,36.5,10.0,1626.775,162.67749999999995,4.81971362239501,,0.0,,1.0,104
105.0,2011,44.5,712.3777777777777,1314382.7081666673,2584.748417646141,7.615261248841254,-0.2730151760388301,21.849090909090954,2.0,2.0,105
105.0,2012,44.5,741.65,1283518.9222777777,2528.3097886681744,7.571011228793242,-0.30066609867859023,21.868286445012835,2.0,2.0,105
105.0,2013,44.5,752.0166666666668,1309546.0462777778,2586.083257922387,7.579933002290129,-0.3282185901171194,22.11545226130648,2.0,2.0,105
105.0,2014,44.5,761.5166666666668,1303967.7398888895,2571.623002742489,7.557401014672978,-0.353988061794368,23.057230392156814,2.0,3.0,105
105.0,2015,44.5,771.6166666666667,1301262.9310000006,2506.2948733174403,7.504957505459088,-0.2114502481142543,23.9814593301435,2.0,3.0,105
105.0,2016,44.5,767.3166666666667,1362233.0081111114,2578.06559681802,7.563445246272612,-0.07091252028269858,24.88936915887857,2.0,4.0,105
106.0,2011,44.5,787.9722222222223,1617246.3431111109,2674.336770738529,7.66777535280906,-1.1624915086271153,20.521538461538505,1.0,1.0,106
106.0,2012,44.5,802.9555555555555,1608944.714277778,2635.6667952637713,7.641639308165917,-1.2429368408581998,20.511398176291877,1.0,1.0,106
106.0,2013,44.5,811.6333333333333,1647708.5548888885,2723.454206741997,7.657680777802034,-1.3232980006511341,20.66048265460037,1.0,1.0,106
106.0,2014,44.5,822.2944444444445,1570151.4773888888,2578.3651934449945,7.589601473766978,-1.3901886566064832,21.16671575846837,1.0,1.0,106
106.0,2015,44.45810055865922,834.1508379888268,1518439.396815644,2462.1178185045915,7.537975007725817,-1.2993727374625317,21.66690647482019,1.0,2.0,106
106.0,2016,44.5,848.6055555555556,1629518.5132777784,2620.0720764023567,7.603439322232347,-1.1911684794759116,22.161462728551307,1.0,2.0,106
107.0,2011,44.5,574.4444444444445,1036992.9720555559,2320.9790428077617,7.523852859766315,0.7257588099662218,26.247734627831658,4.0,4.0,107
107.0,2012,44.5,583.5055555555557,1023802.5878333332,2356.144713601811,7.503147552403764,0.7452473665685386,26.700806451612983,4.0,4.0,107
107.0,2013,44.5,586.2333333333332,1028887.2413333331,2390.612255737789,7.508412425046034,0.7648546615206439,27.05441412520062,4.0,5.0,107
